"","culmen_length_mm","sex","body_mass_g","species"
"1",39.1,"MALE",3750,"Adelie"
"2",39.5,"FEMALE",3800,"Adelie"
"3",40.3,"FEMALE",3250,"Adelie"
"4",36.7,"FEMALE",3450,"Adelie"
"5",39.3,"MALE",3650,"Adelie"
"6",38.9,"FEMALE",3625,"Adelie"
"7",39.2,"MALE",4675,"Adelie"
"8",41.1,"FEMALE",3200,"Adelie"
"9",38.6,"MALE",3800,"Adelie"
"10",34.6,"MALE",4400,"Adelie"
"11",36.6,"FEMALE",3700,"Adelie"
"12",38.7,"FEMALE",3450,"Adelie"
"13",42.5,"MALE",4500,"Adelie"
"14",34.4,"FEMALE",3325,"Adelie"
"15",46,"MALE",4200,"Adelie"
"16",37.8,"FEMALE",3400,"Adelie"
"17",37.7,"MALE",3600,"Adelie"
"18",35.9,"FEMALE",3800,"Adelie"
"19",38.2,"MALE",3950,"Adelie"
"20",38.8,"MALE",3800,"Adelie"
"21",35.3,"FEMALE",3800,"Adelie"
"22",40.6,"MALE",3550,"Adelie"
"23",40.5,"FEMALE",3200,"Adelie"
"24",37.9,"FEMALE",3150,"Adelie"
"25",40.5,"MALE",3950,"Adelie"
"26",39.5,"FEMALE",3250,"Adelie"
"27",37.2,"MALE",3900,"Adelie"
"28",39.5,"FEMALE",3300,"Adelie"
"29",40.9,"MALE",3900,"Adelie"
"30",36.4,"FEMALE",3325,"Adelie"
"31",39.2,"MALE",4150,"Adelie"
"32",38.8,"MALE",3950,"Adelie"
"33",42.2,"FEMALE",3550,"Adelie"
"34",37.6,"FEMALE",3300,"Adelie"
"35",39.8,"MALE",4650,"Adelie"
"36",36.5,"FEMALE",3150,"Adelie"
"37",40.8,"MALE",3900,"Adelie"
"38",36,"FEMALE",3100,"Adelie"
"39",44.1,"MALE",4400,"Adelie"
"40",37,"FEMALE",3000,"Adelie"
"41",39.6,"MALE",4600,"Adelie"
"42",41.1,"MALE",3425,"Adelie"
"43",36,"FEMALE",3450,"Adelie"
"44",42.3,"MALE",4150,"Adelie"
"45",39.6,"FEMALE",3500,"Adelie"
"46",40.1,"MALE",4300,"Adelie"
"47",35,"FEMALE",3450,"Adelie"
"48",42,"MALE",4050,"Adelie"
"49",34.5,"FEMALE",2900,"Adelie"
"50",41.4,"MALE",3700,"Adelie"
"51",39,"FEMALE",3550,"Adelie"
"52",40.6,"MALE",3800,"Adelie"
"53",36.5,"FEMALE",2850,"Adelie"
"54",37.6,"MALE",3750,"Adelie"
"55",35.7,"FEMALE",3150,"Adelie"
"56",41.3,"MALE",4400,"Adelie"
"57",37.6,"FEMALE",3600,"Adelie"
"58",41.1,"MALE",4050,"Adelie"
"59",36.4,"FEMALE",2850,"Adelie"
"60",41.6,"MALE",3950,"Adelie"
"61",35.5,"FEMALE",3350,"Adelie"
"62",41.1,"MALE",4100,"Adelie"
"63",35.9,"FEMALE",3050,"Adelie"
"64",41.8,"MALE",4450,"Adelie"
"65",33.5,"FEMALE",3600,"Adelie"
"66",39.7,"MALE",3900,"Adelie"
"67",39.6,"FEMALE",3550,"Adelie"
"68",45.8,"MALE",4150,"Adelie"
"69",35.5,"FEMALE",3700,"Adelie"
"70",42.8,"MALE",4250,"Adelie"
"71",40.9,"FEMALE",3700,"Adelie"
"72",37.2,"MALE",3900,"Adelie"
"73",36.2,"FEMALE",3550,"Adelie"
"74",42.1,"MALE",4000,"Adelie"
"75",34.6,"FEMALE",3200,"Adelie"
"76",42.9,"MALE",4700,"Adelie"
"77",36.7,"FEMALE",3800,"Adelie"
"78",35.1,"MALE",4200,"Adelie"
"79",37.3,"FEMALE",3350,"Adelie"
"80",41.3,"MALE",3550,"Adelie"
"81",36.3,"MALE",3800,"Adelie"
"82",36.9,"FEMALE",3500,"Adelie"
"83",38.3,"MALE",3950,"Adelie"
"84",38.9,"FEMALE",3600,"Adelie"
"85",35.7,"FEMALE",3550,"Adelie"
"86",41.1,"MALE",4300,"Adelie"
"87",34,"FEMALE",3400,"Adelie"
"88",39.6,"MALE",4450,"Adelie"
"89",36.2,"FEMALE",3300,"Adelie"
"90",40.8,"MALE",4300,"Adelie"
"91",38.1,"FEMALE",3700,"Adelie"
"92",40.3,"MALE",4350,"Adelie"
"93",33.1,"FEMALE",2900,"Adelie"
"94",43.2,"MALE",4100,"Adelie"
"95",35,"FEMALE",3725,"Adelie"
"96",41,"MALE",4725,"Adelie"
"97",37.7,"FEMALE",3075,"Adelie"
"98",37.8,"MALE",4250,"Adelie"
"99",37.9,"FEMALE",2925,"Adelie"
"100",39.7,"MALE",3550,"Adelie"
"101",38.6,"FEMALE",3750,"Adelie"
"102",38.2,"MALE",3900,"Adelie"
"103",38.1,"FEMALE",3175,"Adelie"
"104",43.2,"MALE",4775,"Adelie"
"105",38.1,"FEMALE",3825,"Adelie"
"106",45.6,"MALE",4600,"Adelie"
"107",39.7,"FEMALE",3200,"Adelie"
"108",42.2,"MALE",4275,"Adelie"
"109",39.6,"FEMALE",3900,"Adelie"
"110",42.7,"MALE",4075,"Adelie"
"111",38.6,"FEMALE",2900,"Adelie"
"112",37.3,"MALE",3775,"Adelie"
"113",35.7,"FEMALE",3350,"Adelie"
"114",41.1,"MALE",3325,"Adelie"
"115",36.2,"FEMALE",3150,"Adelie"
"116",37.7,"MALE",3500,"Adelie"
"117",40.2,"FEMALE",3450,"Adelie"
"118",41.4,"MALE",3875,"Adelie"
"119",35.2,"FEMALE",3050,"Adelie"
"120",40.6,"MALE",4000,"Adelie"
"121",38.8,"FEMALE",3275,"Adelie"
"122",41.5,"MALE",4300,"Adelie"
"123",39,"FEMALE",3050,"Adelie"
"124",44.1,"MALE",4000,"Adelie"
"125",38.5,"FEMALE",3325,"Adelie"
"126",43.1,"MALE",3500,"Adelie"
"127",36.8,"FEMALE",3500,"Adelie"
"128",37.5,"MALE",4475,"Adelie"
"129",38.1,"FEMALE",3425,"Adelie"
"130",41.1,"MALE",3900,"Adelie"
"131",35.6,"FEMALE",3175,"Adelie"
"132",40.2,"MALE",3975,"Adelie"
"133",37,"FEMALE",3400,"Adelie"
"134",39.7,"MALE",4250,"Adelie"
"135",40.2,"FEMALE",3400,"Adelie"
"136",40.6,"MALE",3475,"Adelie"
"137",32.1,"FEMALE",3050,"Adelie"
"138",40.7,"MALE",3725,"Adelie"
"139",37.3,"FEMALE",3000,"Adelie"
"140",39,"MALE",3650,"Adelie"
"141",39.2,"MALE",4250,"Adelie"
"142",36.6,"FEMALE",3475,"Adelie"
"143",36,"FEMALE",3450,"Adelie"
"144",37.8,"MALE",3750,"Adelie"
"145",36,"FEMALE",3700,"Adelie"
"146",41.5,"MALE",4000,"Adelie"
"147",46.1,"FEMALE",4500,"Gentoo"
"148",50,"MALE",5700,"Gentoo"
"149",48.7,"FEMALE",4450,"Gentoo"
"150",50,"MALE",5700,"Gentoo"
"151",47.6,"MALE",5400,"Gentoo"
"152",46.5,"FEMALE",4550,"Gentoo"
"153",45.4,"FEMALE",4800,"Gentoo"
"154",46.7,"MALE",5200,"Gentoo"
"155",43.3,"FEMALE",4400,"Gentoo"
"156",46.8,"MALE",5150,"Gentoo"
"157",40.9,"FEMALE",4650,"Gentoo"
"158",49,"MALE",5550,"Gentoo"
"159",45.5,"FEMALE",4650,"Gentoo"
"160",48.4,"MALE",5850,"Gentoo"
"161",45.8,"FEMALE",4200,"Gentoo"
"162",49.3,"MALE",5850,"Gentoo"
"163",42,"FEMALE",4150,"Gentoo"
"164",49.2,"MALE",6300,"Gentoo"
"165",46.2,"FEMALE",4800,"Gentoo"
"166",48.7,"MALE",5350,"Gentoo"
"167",50.2,"MALE",5700,"Gentoo"
"168",45.1,"FEMALE",5000,"Gentoo"
"169",46.5,"FEMALE",4400,"Gentoo"
"170",46.3,"MALE",5050,"Gentoo"
"171",42.9,"FEMALE",5000,"Gentoo"
"172",46.1,"MALE",5100,"Gentoo"
"173",47.8,"MALE",5650,"Gentoo"
"174",48.2,"FEMALE",4600,"Gentoo"
"175",50,"MALE",5550,"Gentoo"
"176",47.3,"MALE",5250,"Gentoo"
"177",42.8,"FEMALE",4700,"Gentoo"
"178",45.1,"FEMALE",5050,"Gentoo"
"179",59.6,"MALE",6050,"Gentoo"
"180",49.1,"FEMALE",5150,"Gentoo"
"181",48.4,"MALE",5400,"Gentoo"
"182",42.6,"FEMALE",4950,"Gentoo"
"183",44.4,"MALE",5250,"Gentoo"
"184",44,"FEMALE",4350,"Gentoo"
"185",48.7,"MALE",5350,"Gentoo"
"186",42.7,"FEMALE",3950,"Gentoo"
"187",49.6,"MALE",5700,"Gentoo"
"188",45.3,"FEMALE",4300,"Gentoo"
"189",49.6,"MALE",4750,"Gentoo"
"190",50.5,"MALE",5550,"Gentoo"
"191",43.6,"FEMALE",4900,"Gentoo"
"192",45.5,"FEMALE",4200,"Gentoo"
"193",50.5,"MALE",5400,"Gentoo"
"194",44.9,"FEMALE",5100,"Gentoo"
"195",45.2,"MALE",5300,"Gentoo"
"196",46.6,"FEMALE",4850,"Gentoo"
"197",48.5,"MALE",5300,"Gentoo"
"198",45.1,"FEMALE",4400,"Gentoo"
"199",50.1,"MALE",5000,"Gentoo"
"200",46.5,"FEMALE",4900,"Gentoo"
"201",45,"MALE",5050,"Gentoo"
"202",43.8,"FEMALE",4300,"Gentoo"
"203",45.5,"MALE",5000,"Gentoo"
"204",43.2,"FEMALE",4450,"Gentoo"
"205",50.4,"MALE",5550,"Gentoo"
"206",45.3,"FEMALE",4200,"Gentoo"
"207",46.2,"MALE",5300,"Gentoo"
"208",45.7,"FEMALE",4400,"Gentoo"
"209",54.3,"MALE",5650,"Gentoo"
"210",45.8,"FEMALE",4700,"Gentoo"
"211",49.8,"MALE",5700,"Gentoo"
"212",49.5,"MALE",5800,"Gentoo"
"213",43.5,"FEMALE",4700,"Gentoo"
"214",50.7,"MALE",5550,"Gentoo"
"215",47.7,"FEMALE",4750,"Gentoo"
"216",46.4,"MALE",5000,"Gentoo"
"217",48.2,"MALE",5100,"Gentoo"
"218",46.5,"FEMALE",5200,"Gentoo"
"219",46.4,"FEMALE",4700,"Gentoo"
"220",48.6,"MALE",5800,"Gentoo"
"221",47.5,"FEMALE",4600,"Gentoo"
"222",51.1,"MALE",6000,"Gentoo"
"223",45.2,"FEMALE",4750,"Gentoo"
"224",45.2,"MALE",5950,"Gentoo"
"225",49.1,"FEMALE",4625,"Gentoo"
"226",52.5,"MALE",5450,"Gentoo"
"227",47.4,"FEMALE",4725,"Gentoo"
"228",50,"MALE",5350,"Gentoo"
"229",44.9,"FEMALE",4750,"Gentoo"
"230",50.8,"MALE",5600,"Gentoo"
"231",43.4,"FEMALE",4600,"Gentoo"
"232",51.3,"MALE",5300,"Gentoo"
"233",47.5,"FEMALE",4875,"Gentoo"
"234",52.1,"MALE",5550,"Gentoo"
"235",47.5,"FEMALE",4950,"Gentoo"
"236",52.2,"MALE",5400,"Gentoo"
"237",45.5,"FEMALE",4750,"Gentoo"
"238",49.5,"MALE",5650,"Gentoo"
"239",44.5,"FEMALE",4850,"Gentoo"
"240",50.8,"MALE",5200,"Gentoo"
"241",49.4,"MALE",4925,"Gentoo"
"242",46.9,"FEMALE",4875,"Gentoo"
"243",48.4,"FEMALE",4625,"Gentoo"
"244",51.1,"MALE",5250,"Gentoo"
"245",48.5,"FEMALE",4850,"Gentoo"
"246",55.9,"MALE",5600,"Gentoo"
"247",47.2,"FEMALE",4975,"Gentoo"
"248",49.1,"MALE",5500,"Gentoo"
"249",46.8,"MALE",5500,"Gentoo"
"250",41.7,"FEMALE",4700,"Gentoo"
"251",53.4,"MALE",5500,"Gentoo"
"252",43.3,"FEMALE",4575,"Gentoo"
"253",48.1,"MALE",5500,"Gentoo"
"254",50.5,"FEMALE",5000,"Gentoo"
"255",49.8,"MALE",5950,"Gentoo"
"256",43.5,"FEMALE",4650,"Gentoo"
"257",51.5,"MALE",5500,"Gentoo"
"258",46.2,"FEMALE",4375,"Gentoo"
"259",55.1,"MALE",5850,"Gentoo"
"260",48.8,"MALE",6000,"Gentoo"
"261",47.2,"FEMALE",4925,"Gentoo"
"262",46.8,"FEMALE",4850,"Gentoo"
"263",50.4,"MALE",5750,"Gentoo"
"264",45.2,"FEMALE",5200,"Gentoo"
"265",49.9,"MALE",5400,"Gentoo"
"266",46.5,"FEMALE",3500,"Chinstrap"
"267",50,"MALE",3900,"Chinstrap"
"268",51.3,"MALE",3650,"Chinstrap"
"269",45.4,"FEMALE",3525,"Chinstrap"
"270",52.7,"MALE",3725,"Chinstrap"
"271",45.2,"FEMALE",3950,"Chinstrap"
"272",46.1,"FEMALE",3250,"Chinstrap"
"273",51.3,"MALE",3750,"Chinstrap"
"274",46,"FEMALE",4150,"Chinstrap"
"275",51.3,"MALE",3700,"Chinstrap"
"276",46.6,"FEMALE",3800,"Chinstrap"
"277",51.7,"MALE",3775,"Chinstrap"
"278",47,"FEMALE",3700,"Chinstrap"
"279",52,"MALE",4050,"Chinstrap"
"280",45.9,"FEMALE",3575,"Chinstrap"
"281",50.5,"MALE",4050,"Chinstrap"
"282",50.3,"MALE",3300,"Chinstrap"
"283",58,"FEMALE",3700,"Chinstrap"
"284",46.4,"FEMALE",3450,"Chinstrap"
"285",49.2,"MALE",4400,"Chinstrap"
"286",42.4,"FEMALE",3600,"Chinstrap"
"287",48.5,"MALE",3400,"Chinstrap"
"288",43.2,"FEMALE",2900,"Chinstrap"
"289",50.6,"MALE",3800,"Chinstrap"
"290",46.7,"FEMALE",3300,"Chinstrap"
"291",52,"MALE",4150,"Chinstrap"
"292",50.5,"FEMALE",3400,"Chinstrap"
"293",49.5,"MALE",3800,"Chinstrap"
"294",46.4,"FEMALE",3700,"Chinstrap"
"295",52.8,"MALE",4550,"Chinstrap"
"296",40.9,"FEMALE",3200,"Chinstrap"
"297",54.2,"MALE",4300,"Chinstrap"
"298",42.5,"FEMALE",3350,"Chinstrap"
"299",51,"MALE",4100,"Chinstrap"
"300",49.7,"MALE",3600,"Chinstrap"
"301",47.5,"FEMALE",3900,"Chinstrap"
"302",47.6,"FEMALE",3850,"Chinstrap"
"303",52,"MALE",4800,"Chinstrap"
"304",46.9,"FEMALE",2700,"Chinstrap"
"305",53.5,"MALE",4500,"Chinstrap"
"306",49,"MALE",3950,"Chinstrap"
"307",46.2,"FEMALE",3650,"Chinstrap"
"308",50.9,"MALE",3550,"Chinstrap"
"309",45.5,"FEMALE",3500,"Chinstrap"
"310",50.9,"FEMALE",3675,"Chinstrap"
"311",50.8,"MALE",4450,"Chinstrap"
"312",50.1,"FEMALE",3400,"Chinstrap"
"313",49,"MALE",4300,"Chinstrap"
"314",51.5,"MALE",3250,"Chinstrap"
"315",49.8,"FEMALE",3675,"Chinstrap"
"316",48.1,"FEMALE",3325,"Chinstrap"
"317",51.4,"MALE",3950,"Chinstrap"
"318",45.7,"FEMALE",3600,"Chinstrap"
"319",50.7,"MALE",4050,"Chinstrap"
"320",42.5,"FEMALE",3350,"Chinstrap"
"321",52.2,"MALE",3450,"Chinstrap"
"322",45.2,"FEMALE",3250,"Chinstrap"
"323",49.3,"MALE",4050,"Chinstrap"
"324",50.2,"MALE",3800,"Chinstrap"
"325",45.6,"FEMALE",3525,"Chinstrap"
"326",51.9,"MALE",3950,"Chinstrap"
"327",46.8,"FEMALE",3650,"Chinstrap"
"328",45.7,"FEMALE",3650,"Chinstrap"
"329",55.8,"MALE",4000,"Chinstrap"
"330",43.5,"FEMALE",3400,"Chinstrap"
"331",49.6,"MALE",3775,"Chinstrap"
"332",50.8,"MALE",4100,"Chinstrap"
"333",50.2,"FEMALE",3775,"Chinstrap"
